epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
77,0.013779,0.5528,97.79,0.6650,93.39,93.39,0.000,10.3,93.49
78,0.012659,0.5503,97.92,0.6600,93.50,93.50,0.000,10.1,93.50
79,0.011580,0.5459,98.08,0.6638,93.45,93.45,0.000,10.2,93.50
80,0.010543,0.5418,98.23,0.6592,93.61,93.61,0.000,10.1,93.61
81,0.009549,0.5405,98.28,0.6507,94.17,94.17,0.000,10.2,94.17
82,0.008600,0.5321,98.70,0.6531,93.91,93.91,0.000,10.1,94.17
83,0.007695,0.5286,98.79,0.6462,94.40,94.40,0.000,10.2,94.40
84,0.006837,0.5269,98.97,0.6516,94.07,94.07,0.000,10.2,94.40
85,0.006026,0.5240,99.05,0.6437,94.39,94.39,0.000,10.1,94.40
86,0.005264,0.5194,99.27,0.6397,94.71,94.71,0.000,10.2,94.71
87,0.004550,0.5189,99.29,0.6410,94.56,94.56,0.000,10.1,94.71
88,0.003886,0.5174,99.36,0.6380,94.72,94.72,0.000,10.1,94.72
89,0.003272,0.5153,99.43,0.6333,94.82,94.82,0.000,10.2,94.82
90,0.002709,0.5127,99.53,0.6304,94.91,94.91,0.000,10.1,94.91
91,0.002198,0.5130,99.55,0.6296,94.81,94.81,0.000,10.2,94.91
92,0.001740,0.5121,99.58,0.6304,94.90,94.90,0.000,10.1,94.91
93,0.001334,0.5104,99.64,0.6289,95.00,95.00,0.000,10.2,95.00
94,0.000981,0.5099,99.68,0.6286,95.04,95.04,0.000,10.2,95.04
95,0.000682,0.5093,99.69,0.6274,95.03,95.03,0.000,10.2,95.04
96,0.000437,0.5088,99.70,0.6261,95.19,95.19,0.000,10.1,95.19
97,0.000246,0.5099,99.63,0.6259,95.18,95.18,0.000,10.2,95.19
98,0.000109,0.5099,99.66,0.6270,95.07,95.07,0.000,10.2,95.19
99,0.000027,0.5094,99.68,0.6267,95.11,95.11,0.000,10.1,95.19
100,0.000000,0.5089,99.73,0.6260,95.14,95.14,0.000,10.2,95.19
