epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
77,0.069968,1.1315,69.25,0.6528,94.03,89.60,0.521,13.8,94.12
78,0.069227,1.1375,68.87,0.6540,94.12,89.96,0.531,13.8,94.12
79,0.068481,1.1254,70.80,0.6543,94.08,90.11,0.508,13.8,94.12
80,0.067730,1.1043,70.65,0.6531,94.14,89.09,0.500,13.8,94.14
81,0.066975,1.1396,69.51,0.6534,94.14,90.55,0.518,13.8,94.14
82,0.066215,1.1267,71.08,0.6507,94.18,89.43,0.505,13.8,94.18
83,0.065451,1.0806,70.94,0.6488,94.19,86.92,0.490,13.8,94.19
84,0.064683,1.1125,71.36,0.6489,94.37,90.20,0.531,13.8,94.37
85,0.063911,1.0668,73.99,0.6473,94.18,88.44,0.446,13.8,94.37
86,0.063135,1.1153,70.33,0.6473,94.19,90.12,0.513,13.8,94.37
87,0.062356,1.0712,72.68,0.6457,94.26,90.50,0.487,13.8,94.37
88,0.061574,1.1000,71.98,0.6468,94.35,90.61,0.503,13.8,94.37
89,0.060789,1.0892,70.83,0.6459,94.37,88.16,0.510,13.8,94.37
90,0.060001,1.1014,73.40,0.6459,94.44,90.87,0.487,13.8,94.44
91,0.059211,1.0904,73.74,0.6457,94.48,91.26,0.510,13.8,94.48
92,0.058418,1.0508,74.69,0.6432,94.38,89.82,0.462,13.8,94.48
93,0.057623,1.0852,74.09,0.6429,94.43,90.40,0.497,13.8,94.48
94,0.056826,1.0684,72.35,0.6416,94.49,90.70,0.469,13.8,94.49
95,0.056027,1.0876,70.61,0.6417,94.63,90.61,0.508,13.8,94.63
96,0.055226,1.0900,72.26,0.6425,94.58,91.32,0.526,13.8,94.63
97,0.054425,1.0665,73.64,0.6419,94.55,91.15,0.477,13.8,94.63
98,0.053622,1.0575,71.54,0.6409,94.51,90.22,0.495,13.8,94.63
99,0.052818,1.1000,71.64,0.6416,94.49,90.33,0.533,13.8,94.63
100,0.052013,1.0226,73.94,0.6391,94.58,91.13,0.462,13.8,94.63
101,0.051208,1.0811,70.69,0.6392,94.63,88.65,0.510,13.8,94.63
102,0.050403,1.0624,73.07,0.6379,94.66,91.18,0.479,13.8,94.66
103,0.049597,1.0891,71.50,0.6391,94.52,91.06,0.518,13.8,94.66
104,0.048792,1.0935,71.45,0.6396,94.46,90.43,0.533,13.8,94.66
105,0.047987,1.0502,73.67,0.6383,94.59,89.96,0.485,14.0,94.66
106,0.047182,1.0927,72.70,0.6391,94.64,91.76,0.536,13.8,94.66
107,0.046378,1.0688,72.49,0.6383,94.57,91.30,0.503,13.8,94.66
108,0.045575,1.0581,75.09,0.6375,94.63,91.02,0.505,13.8,94.66
109,0.044774,1.0797,71.88,0.6384,94.52,91.38,0.518,13.8,94.66
110,0.043973,1.0448,72.63,0.6370,94.57,90.98,0.505,13.8,94.66
111,0.043174,1.0493,73.78,0.6352,94.76,91.52,0.503,13.8,94.76
112,0.042377,1.0977,71.70,0.6353,94.84,91.53,0.564,13.8,94.84
113,0.041582,1.0406,76.13,0.6335,94.81,92.42,0.487,13.8,94.84
114,0.040789,1.0370,73.18,0.6323,94.78,91.08,0.479,13.8,94.84
115,0.039999,1.0677,72.54,0.6325,94.87,92.22,0.536,13.8,94.87
116,0.039211,1.0308,74.22,0.6311,95.02,91.75,0.479,13.8,95.02
117,0.038426,1.0564,75.48,0.6314,94.89,91.95,0.510,13.8,95.02
118,0.037644,1.0263,73.97,0.6299,95.01,92.73,0.510,13.8,95.02
119,0.036865,1.0276,74.88,0.6280,94.94,92.56,0.482,13.8,95.02
120,0.036089,1.0403,72.60,0.6285,95.03,92.16,0.503,13.8,95.03
121,0.035317,1.0484,74.75,0.6290,94.93,92.23,0.505,13.8,95.03
122,0.034549,1.0187,74.99,0.6284,95.02,92.37,0.490,13.8,95.03
123,0.033785,1.0366,74.33,0.6283,95.03,92.20,0.500,13.8,95.03
124,0.033025,0.9976,76.96,0.6263,95.17,91.50,0.464,13.8,95.17
125,0.032270,1.0383,73.51,0.6253,95.30,92.57,0.528,13.8,95.30
126,0.031519,0.9776,76.92,0.6234,95.30,92.71,0.433,13.9,95.30
127,0.030773,1.0280,73.99,0.6235,95.26,93.02,0.521,13.8,95.30
128,0.030032,1.0224,75.78,0.6231,95.33,92.50,0.495,13.8,95.33
129,0.029296,1.0302,73.86,0.6231,95.30,92.28,0.523,13.8,95.33
130,0.028565,0.9750,75.53,0.6214,95.38,92.79,0.492,13.8,95.38
131,0.027840,1.0090,74.50,0.6209,95.45,92.37,0.492,13.8,95.45
132,0.027121,0.9877,75.96,0.6200,95.31,92.03,0.477,13.8,95.45
133,0.026408,1.0052,74.75,0.6202,95.45,92.93,0.513,13.8,95.45
134,0.025701,0.9857,75.80,0.6191,95.39,93.35,0.500,13.8,95.45
135,0.025000,1.0223,74.43,0.6196,95.50,92.80,0.495,13.8,95.50
136,0.024306,1.0011,75.23,0.6184,95.59,93.55,0.513,13.8,95.59
137,0.023618,1.0158,74.27,0.6194,95.66,93.76,0.500,13.8,95.66
138,0.022937,1.0042,76.44,0.6190,95.68,93.69,0.482,13.8,95.68
139,0.022263,0.9604,77.53,0.6168,95.68,93.25,0.479,13.8,95.68
140,0.021597,0.9728,75.12,0.6160,95.80,93.61,0.477,13.8,95.80
141,0.020938,0.9813,76.73,0.6153,95.77,94.15,0.472,13.8,95.80
142,0.020286,0.9659,77.28,0.6142,95.79,94.01,0.477,13.8,95.80
143,0.019642,0.9714,76.54,0.6134,95.86,93.66,0.503,13.8,95.86
144,0.019006,1.0016,74.53,0.6143,95.98,93.33,0.549,13.8,95.98
145,0.018378,0.9726,77.09,0.6141,95.95,93.43,0.510,13.8,95.98
146,0.017758,0.9701,77.38,0.6133,95.87,94.42,0.482,13.8,95.98
147,0.017146,0.9958,75.31,0.6141,95.88,93.73,0.523,13.8,95.98
148,0.016543,0.9553,77.59,0.6134,95.81,93.61,0.497,13.8,95.98
149,0.015949,0.9754,76.54,0.6137,95.72,94.59,0.521,13.8,95.98
150,0.015364,0.9501,76.02,0.6130,95.86,93.96,0.487,13.8,95.98
151,0.014787,0.9643,77.29,0.6127,96.04,94.23,0.503,13.8,96.04
152,0.014220,0.9738,75.35,0.6134,95.84,94.27,0.523,13.8,96.04
153,0.013662,0.9406,75.58,0.6123,95.89,93.88,0.497,13.8,96.04
154,0.013113,0.9884,75.83,0.6130,95.97,94.22,0.533,13.8,96.04
155,0.012574,0.9275,79.96,0.6119,96.00,94.12,0.482,13.8,96.04
156,0.012045,0.9488,78.77,0.6116,96.01,94.37,0.456,13.8,96.04
157,0.011526,0.9823,74.84,0.6127,95.97,94.89,0.526,13.8,96.04
158,0.011016,0.9111,79.22,0.6099,95.96,94.60,0.487,13.8,96.04
159,0.010517,0.9504,75.82,0.6094,96.07,94.07,0.497,13.8,96.07
160,0.010028,0.8968,80.72,0.6076,96.13,94.40,0.451,13.8,96.13
161,0.009549,0.9620,77.71,0.6088,96.15,94.79,0.513,13.8,96.15
162,0.009081,0.9059,80.84,0.6084,96.12,95.05,0.456,13.8,96.15
163,0.008623,0.9408,77.08,0.6094,96.03,95.04,0.510,13.8,96.15
164,0.008176,0.9278,77.56,0.6096,96.03,95.02,0.505,13.8,96.15
165,0.007740,0.9178,78.83,0.6092,96.05,94.68,0.505,13.8,96.15
166,0.007315,0.8866,81.53,0.6076,96.18,95.09,0.438,13.8,96.18
167,0.006902,0.8803,78.12,0.6071,96.10,95.02,0.462,13.9,96.18
168,0.006499,0.9053,80.02,0.6079,95.98,95.24,0.505,13.8,96.18
169,0.006107,0.9156,80.17,0.6083,96.07,95.18,0.505,13.8,96.18
170,0.005727,0.9086,81.55,0.6080,96.15,95.39,0.497,13.8,96.18
171,0.005359,0.9267,76.89,0.6074,96.19,95.54,0.513,13.8,96.19
172,0.005002,0.9547,76.78,0.6079,96.21,95.39,0.569,13.8,96.21
