epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
77,0.013779,1.0031,74.58,0.6283,95.19,93.59,0.521,13.8,95.26
78,0.012659,1.0021,74.47,0.6279,95.29,93.84,0.531,13.8,95.29
79,0.011580,0.9861,76.44,0.6272,95.31,94.21,0.508,13.8,95.31
80,0.010543,0.9610,76.42,0.6255,95.34,94.04,0.500,13.8,95.34
81,0.009549,0.9962,75.13,0.6258,95.44,94.62,0.518,13.8,95.44
82,0.008600,0.9743,77.40,0.6251,95.41,94.04,0.505,13.8,95.44
83,0.007695,0.9211,77.35,0.6230,95.54,94.20,0.490,13.8,95.54
84,0.006837,0.9518,78.04,0.6225,95.67,94.97,0.531,13.8,95.67
85,0.006026,0.8986,80.92,0.6203,95.61,95.17,0.446,13.8,95.67
86,0.005264,0.9479,77.36,0.6205,95.65,95.03,0.513,13.8,95.67
87,0.004550,0.8930,79.89,0.6190,95.74,95.12,0.487,13.8,95.74
88,0.003886,0.9294,78.88,0.6195,95.77,95.20,0.503,13.8,95.77
89,0.003272,0.9144,77.52,0.6194,95.81,95.28,0.510,13.8,95.81
90,0.002709,0.9241,81.11,0.6192,95.74,95.42,0.487,13.8,95.81
91,0.002198,0.9092,81.46,0.6187,95.82,95.50,0.510,13.8,95.82
92,0.001740,0.8674,82.33,0.6174,95.82,95.60,0.462,13.8,95.82
93,0.001334,0.9052,81.61,0.6172,95.79,95.62,0.497,13.8,95.82
94,0.000981,0.8891,79.51,0.6168,95.78,95.71,0.469,13.8,95.82
95,0.000682,0.9045,78.14,0.6174,95.79,95.69,0.508,13.8,95.82
96,0.000437,0.9091,79.47,0.6178,95.84,95.67,0.526,13.8,95.84
97,0.000246,0.8866,80.98,0.6174,95.88,95.86,0.477,13.8,95.88
98,0.000109,0.8783,78.75,0.6169,95.86,95.69,0.495,13.8,95.88
99,0.000027,0.9202,79.04,0.6181,95.86,95.68,0.533,13.8,95.88
100,0.000000,0.8475,81.18,0.6164,95.82,95.73,0.462,13.8,95.88
