epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
77,0.069968,0.6896,91.65,0.7441,89.87,89.87,0.000,12.3,90.30
78,0.069227,0.6899,91.75,0.7351,89.89,89.89,0.000,12.2,90.30
79,0.068481,0.6842,92.16,0.7458,89.26,89.26,0.000,12.3,90.30
80,0.067730,0.6812,92.20,0.7551,89.37,89.37,0.000,12.2,90.30
81,0.066975,0.6835,92.06,0.7520,89.30,89.30,0.000,12.2,90.30
82,0.066215,0.6786,92.32,0.7829,88.07,88.07,0.000,12.3,90.30
83,0.065451,0.6765,92.47,0.7443,89.43,89.43,0.000,12.2,90.30
84,0.064683,0.6825,92.26,0.7279,90.12,90.12,0.000,12.2,90.30
85,0.063911,0.6807,92.14,0.7398,89.60,89.60,0.000,12.2,90.30
86,0.063135,0.6721,92.62,0.7432,90.02,90.02,0.000,12.2,90.30
87,0.062356,0.6691,92.70,0.7582,89.12,89.12,0.000,12.2,90.30
88,0.061574,0.6723,92.58,0.7136,90.76,90.76,0.000,12.2,90.76
89,0.060789,0.6685,92.74,0.7202,90.78,90.78,0.000,12.3,90.78
90,0.060001,0.6679,92.82,0.7418,89.95,89.95,0.000,12.2,90.78
91,0.059211,0.6670,92.86,0.7326,90.15,90.15,0.000,12.3,90.78
92,0.058418,0.6660,92.69,0.7602,88.97,88.97,0.000,12.1,90.78
93,0.057623,0.6614,93.17,0.7186,90.68,90.68,0.000,12.2,90.78
94,0.056826,0.6585,93.05,0.7129,91.14,91.14,0.000,12.1,91.14
95,0.056027,0.6587,93.14,0.7173,90.88,90.88,0.000,12.3,91.14
96,0.055226,0.6554,93.35,0.7311,90.47,90.47,0.000,12.3,91.14
97,0.054425,0.6561,93.27,0.6931,91.88,91.88,0.000,12.3,91.88
98,0.053622,0.6525,93.49,0.7233,90.52,90.52,0.000,12.2,91.88
99,0.052818,0.6554,93.30,0.7226,90.87,90.87,0.000,12.2,91.88
100,0.052013,0.6474,93.64,0.7178,90.85,90.85,0.000,12.1,91.88
101,0.051208,0.6480,93.70,0.7378,89.66,89.66,0.000,12.2,91.88
102,0.050403,0.6493,93.69,0.7174,90.69,90.69,0.000,12.2,91.88
103,0.049597,0.6478,93.62,0.7186,90.76,90.76,0.000,12.3,91.88
104,0.048792,0.6436,93.73,0.7000,91.69,91.69,0.000,12.2,91.88
105,0.047987,0.6364,94.11,0.6990,91.82,91.82,0.000,12.3,91.88
106,0.047182,0.6379,94.11,0.7140,91.13,91.13,0.000,12.3,91.88
107,0.046378,0.6396,93.99,0.7522,88.96,88.96,0.000,12.3,91.88
108,0.045575,0.6356,94.17,0.7205,90.72,90.72,0.000,12.1,91.88
109,0.044774,0.6350,94.09,0.6972,91.89,91.89,0.000,12.3,91.89
110,0.043973,0.6311,94.42,0.7000,91.49,91.49,0.000,12.3,91.89
111,0.043174,0.6277,94.51,0.7025,91.35,91.35,0.000,12.2,91.89
112,0.042377,0.6250,94.68,0.7058,91.03,91.03,0.000,12.2,91.89
113,0.041582,0.6234,94.76,0.7131,91.47,91.47,0.000,12.3,91.89
114,0.040789,0.6208,94.83,0.6864,92.14,92.14,0.000,12.2,92.14
115,0.039999,0.6220,94.78,0.6767,92.31,92.31,0.000,12.3,92.31
116,0.039211,0.6189,94.79,0.6862,92.31,92.31,0.000,12.3,92.31
117,0.038426,0.6171,94.92,0.7148,90.82,90.82,0.000,12.3,92.31
118,0.037644,0.6186,94.88,0.6847,92.26,92.26,0.000,12.3,92.31
119,0.036865,0.6146,95.08,0.6869,91.98,91.98,0.000,12.2,92.31
120,0.036089,0.6124,95.20,0.7035,91.57,91.57,0.000,12.1,92.31
121,0.035317,0.6081,95.38,0.6917,92.18,92.18,0.000,12.3,92.31
122,0.034549,0.6092,95.36,0.6826,92.50,92.50,0.000,12.3,92.50
123,0.033785,0.6065,95.39,0.7100,91.31,91.31,0.000,12.2,92.50
124,0.033025,0.6090,95.25,0.6866,92.33,92.33,0.000,12.2,92.50
125,0.032270,0.6013,95.65,0.6893,92.27,92.27,0.000,12.0,92.50
126,0.031519,0.5990,95.81,0.6992,91.76,91.76,0.000,12.3,92.50
127,0.030773,0.5971,95.84,0.7001,91.61,91.61,0.000,12.3,92.50
128,0.030032,0.5950,95.92,0.6757,92.66,92.66,0.000,12.3,92.66
